,l1_title,l1_url,l1_pageid,l2_url,l2_id,l2_title,l2_pageid,l3_url,l3_id,l3_title,l3_pageid,l4_url,l4_id,l4_title,l4_pageid,l5_url,l5_id,l5_title,l5_pageid
32,第二部分 项目管理标准,/chapter/1024,1024,/chapter/1025,1,引论,1025,/chapter/1032,1.7,项目经理的角色,1032,,,,,,,,
33,第二部分 项目管理标准,/chapter/1024,1024,/chapter/1025,1,引论,1025,/chapter/1033,1.8,项目管理知识领域,1033,,,,,,,,
34,第二部分 项目管理标准,/chapter/1024,1024,/chapter/1025,1,引论,1025,/chapter/1034,1.9,项目管理过程组,1034,,,,,,,,
35,第二部分 项目管理标准,/chapter/1024,1024,/chapter/1025,1,引论,1025,/chapter/1035,1.1,事业环境因素和组织过程资产,1035,,,,,,,,
36,第二部分 项目管理标准,/chapter/1024,1024,/chapter/1025,1,引论,1025,/chapter/1036,1.11,裁剪项目工件,1036,,,,,,,,
37,第二部分 项目管理标准,/chapter/1024,1024,/chapter/1037,2,启动过程组,1037,/chapter/1038,2.1,制定项目章程,1038,,,,,,,,
38,第二部分 项目管理标准,/chapter/1024,1024,/chapter/1044,3,规划过程组,1044,/chapter/1045,3.1,制定项目管理计划,1045,,,,,,,,
39,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1287,X1.1,更新内容范围,1287,,,,,,,,
40,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1288,X1.2,术语表与《PMI项目管理术语词典》内术语的一致性规则,1288,,,,,,,,
41,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1289,X1.3,输入和输出处理规则,1289,,,,,,,,
42,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1290,X1.4,工具和技术处理规则,1290,,,,,,,,
43,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1291,X1.5,项目管理计划,1291,,,,,,,,
44,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1292,X1.6,第1章引论,1292,,,,,,,,
45,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1293,X1.7,第2章项目运行环境,1293,,,,,,,,
46,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1294,X1.8,第3章项目经理的角色,1294,,,,,,,,
47,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1295,X1.9,敏捷型,1295,,,,,,,,
48,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1296,X1.10,知识领域引言材料,1296,,,,,,,,
49,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1297,X1.11,知识领域和过程变更,1297,,,,,,,,
50,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1298,X1.12,第4章项目整合管理变更,1298,,,,,,,,
51,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1299,X1.13,第5章项目范围管理变更,1299,,,,,,,,
52,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1300,X1.14,第6章项目进度管理变更,1300,,,,,,,,
53,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1301,X1.15,第7章项目成本管理变更,1301,,,,,,,,
54,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1302,X1.16,第8章项目质量管理变更,1302,,,,,,,,
55,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1303,X1.17,第9章项目资源管理变更,1303,,,,,,,,
56,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1304,X1.18,第10章项目沟通管理变更,1304,,,,,,,,
57,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1305,X1.19,第11章项目风险管理变更,1305,,,,,,,,
58,第三部分 附录、术语表、索引,/chapter/1246,1246,/chapter/1247,X1,附录X1第6版更新,1247,/chapter/1306,X1.20,第12章项目采购管理变更,1306,,,,,,,,
