,name,perspective,count
0,怀来皓轩酒店有限公司,73,64
1,怀来矿建物业服务有限公司,93,84
2,怀来县聚缘快捷酒店,49,47
3,怀来悦庭酒店管理有限公司,69,67
4,经济开发区云港玖佳宾馆,6,1
5,康保县康远假日快捷酒店,24,24
6,张家口泰合酒店管理有限责任公司,109,93
7,张家口铁路园丰园商贸公司,38,31
